sensitivity_group,status,start_date,end_date,starting_equity,ending_equity,net_pnl,daily_profit_sum,equity_reconciliation_error,net_return,cagr,max_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,annualized_volatility,sharpe_zero_rf,sortino_zero_mar,calmar,turnover,trading_costs,adverse_execution_costs,explicit_fees,dividend_income,realized_pnl,unrealized_pnl,buy_count,sell_count,completed_round_trips,win_rate,payoff_ratio,profit_factor,average_holding_days,median_holding_days,profitable_days,losing_days,best_day,worst_day,average_invested_exposure,average_cash_allocation,average_approx_3x_invested_exposure,best_month,worst_month,monthly_returns,calendar_year_returns,minimum_equity,maximum_equity,risk_definition,candidate_id,track_id,pair_id,strategy_id,variant,cost_scenario,execution_delay_sessions,protocol_hash,phase,window_id,benchmark,artifact_path
track_a,OK,2025-09-19,2026-03-18,1000.0,1217.90641907012,217.9064190701199,217.9064190701199,0.0,0.2179064190701198,0.491849151334911,0.117154598504461,2025-10-29,2025-11-20,28,0.3134939240532909,1.4350559363379105,1.9908350885947204,4.198291467971546,991.4846900557802,1.484999535780137,1.484999535780137,0.0,3.3842451359,0.0,214.52217393421984,1,0,0,,,,,,69,53,0.0534608907114908,-0.057099406835627,0.975182205644722,0.024817794355278,,0.1190337837506363,-0.030956408895005,"{'2025-09': 0.008318190864219588, '2025-10': 0.11138130903275889, '2025-11': -0.029360337925090185, '2025-12': 0.025220272560872115, '2026-01': 0.11903378375063633, '2026-02': 0.007143833774259978, '2026-03': -0.03095640889500506}","{'2025': 0.11515672969011859, '2026': 0.09213923625655096}",992.0816567642198,1317.43943660012,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W5,False,A01__QQQM_SMH__buffer_0.02/stress/W5
track_a,OK,2026-03-19,2026-09-18,1000.0,1470.438024601295,470.43802460129496,470.43802460129496,0.0,0.4704380246012949,1.1587740677629137,0.2449841875969542,2026-06-22,2026-07-29,62,0.4586436993305534,1.8989285674970071,2.8325882004263874,4.729995348390885,991.484952398705,1.484999928704984,1.484999928704984,0.0,0.0,0.0,470.4380246012951,1,0,0,,,,,,78,46,0.0683272380647757,-0.0916832819308983,0.9703603801202654,0.0296396198797346,,0.3188726460695932,-0.1749927080795955,"{'2026-03': -0.013297745798704907, '2026-04': 0.3188726460695932, '2026-05': 0.18078355018092362, '2026-06': 0.09457592009179794, '2026-07': -0.17499270807959555, '2026-08': 0.02960280017574779, '2026-09': 0.029233841094455926}",{'2026': 0.47043802460129447},933.455600571295,1715.137907191295,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W6,False,A01__QQQM_SMH__buffer_0.02/stress/W6
track_a,OK,2023-09-19,2024-03-18,1000.0,1041.3486167483502,41.34861674835019,41.34861674835019,0.0,0.0413486167483501,0.0851961437707118,0.074269384726887,2023-10-11,2023-10-26,19,0.105998629550172,0.8233631569898617,0.8372059746263523,1.1471233279231554,2028.3268899643297,1.024170780249964,1.014170780249964,0.01,0.0619551485999999,37.82199475176009,3.464666847990002,2,1,1,1.0,,,56.0,56.0,73,50,0.0217888297718009,-0.0241305454696294,0.324113669447884,0.675886330552116,,0.0923542012118296,-0.0298215719502797,"{'2023-09': -0.02982157195027979, '2023-10': -0.020689399701815825, '2023-11': 0.09235420121182969, '2023-12': 0.0008835362869454855, '2024-01': 0.000629204205132794, '2024-02': 0.0014908479222057736, '2024-03': 0.00036131208049039465}","{'2023': 0.03876928136834912, '2024': 0.002483068594983928}",930.09877964972,1042.29276876835,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,A01__QQQM_SMH__buffer_0.04/base/W1
track_a,OK,2024-03-19,2024-09-18,1000.0,1027.2849111068504,27.28491110685036,27.28491110685036,0.0,0.0272849111068502,0.0551978674039521,0.2463461457566842,2024-07-10,2024-08-07,49,0.3731743611967625,0.3295358331366454,0.4212821895734611,0.2240662919016034,2017.53129615709,1.0187702831498398,1.0087702831498395,0.01,0.0,27.026492850450214,0.2584182564000005,2,1,1,1.0,,,169.0,169.0,71,56,0.0756668958097706,-0.0744101107803082,0.9062836164490709,0.0937163835509291,,0.1220848432631729,-0.0883260025988328,"{'2024-03': 0.04204764418348028, '2024-04': -0.04800468968882543, '2024-05': 0.12208484326317293, '2024-06': 0.0833638598708848, '2024-07': -0.052174677662085944, '2024-08': -0.014173226188115229, '2024-09': -0.08832600259883283}",{'2024': 0.027284911106851162},923.73595422348,1300.33243514348,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,A01__QQQM_SMH__buffer_0.04/base/W2
track_a,OK,2024-09-19,2025-03-18,1000.0,1006.3970439132802,6.397043913280186,6.397043913280186,0.0,0.0063970439132801,0.0130234008493717,0.0964775822621253,2025-02-19,2025-03-07,19,0.171911053141861,0.1616677469173168,0.1988155090177995,0.1349888807742683,1985.85594689872,1.002929438239896,0.9929294382398962,0.01,1.5408107915199998,4.8562331217601375,0.0,1,1,1,1.0,,,164.0,164.0,62,50,0.0268467168884936,-0.0356863109191111,0.9017697081518212,0.0982302918481786,,0.0530728856350311,-0.0416214439190906,"{'2024-09': 0.0068041263115201644, '2024-10': -0.008482756493349397, '2024-11': 0.0530728856350311, '2024-12': 0.004535877347709327, '2025-01': 0.02134716720123797, '2025-02': -0.026379443663392288, '2025-03': -0.04162144391909062}","{'2024': 0.05601270030303929, '2025': -0.04698395802959765}",992.95068263152,1113.85951710304,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W3,False,A01__QQQM_SMH__buffer_0.04/base/W3
track_a,OK,2025-03-19,2025-09-18,1000.0,1044.9125659108252,44.91256591082515,44.91256591082515,0.0,0.0449125659108251,0.0916456973623571,0.0243370946640697,2025-05-19,2025-05-23,9,0.0595042634067655,1.494649188692247,1.4699961493098803,3.765679454649901,2033.4481056992252,1.0267326691748313,1.0167326691748313,0.01,0.0,42.943384473605185,1.9691814372200016,2,1,1,1.0,,,35.0,35.0,58,31,0.0233851529281106,-0.0138289706822599,0.1923608665716457,0.8076391334283543,,0.024162746225028,0.0,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.018913985933579847, '2025-06': 0.02416274622502801, '2025-07': 0.0003434197517551141, '2025-08': 5.236220214444032e-05, '2025-09': 0.0009251327190773484}",{'2025': 0.04491256591082404},999.59944764358,1048.38164337358,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W4,False,A01__QQQM_SMH__buffer_0.04/base/W4
track_a,OK,2025-09-19,2026-03-18,1000.0,1218.8964187606402,218.89641876064024,218.89641876064024,0.0,0.2188964187606401,0.4943109095432394,0.1170527465271499,2025-10-29,2025-11-20,28,0.3131735600864795,1.441486565007866,1.997510911084574,4.222975745627514,990.49469036526,0.4949998452598716,0.4949998452598716,0.0,3.3842451359,0.0,215.5121736247401,1,0,0,,,,,,69,53,0.0534160492062492,-0.0570464307572416,0.9743338282798096,0.0256661717201902,,0.1189282031795757,-0.0309320435219284,"{'2025-09': 0.009308190554740303, '2025-10': 0.11127205849609956, '2025-11': -0.029334422883130373, '2025-12': 0.02519733902527177, '2026-01': 0.11892820317957575, '2026-02': 0.007138170822163614, '2026-03': -0.030932043521928465}","{'2025': 0.11614672938064041, '2026': 0.09205751060796175}",993.0716564547402,1318.4294362906403,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W5,False,A01__QQQM_SMH__buffer_0.04/base/W5
track_a,OK,2026-03-19,2026-09-18,1000.0,1471.428024553765,471.428024553765,471.428024553765,0.0,0.471428024553765,1.1616759537882824,0.2448428611066225,2026-06-22,2026-07-29,62,0.4583760792812979,1.9026940545163733,2.8383479267504357,4.7445775978022215,990.494952446235,0.4949999762349463,0.4949999762349463,0.0,0.0,0.0,471.4280245537651,1,0,0,,,,,,78,46,0.0682750414841375,-0.0916269246176438,0.9696656619582849,0.0303343380417152,,0.3185530283919979,-0.1748897656523137,"{'2026-03': -0.01230774584623473, '2026-04': 0.31855302839199795, '2026-05': 0.1806461223044007, '2026-06': 0.09451502577597659, '2026-07': -0.17488976565231373, '2026-08': 0.029581694693896043, '2026-09': 0.029213597503761957}",{'2026': 0.47142802455376565},934.445600523765,1716.127907143765,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W6,False,A01__QQQM_SMH__buffer_0.04/base/W6
track_a,OK,2023-09-19,2024-03-18,1000.0,1038.9507933245202,38.95079332452019,38.95079332452019,0.0,0.0389507933245201,0.0801596109330851,0.0743426382762485,2023-10-11,2023-10-26,19,0.1057865302673645,0.7808615029331658,0.7909810669970682,1.07824544288059,2027.29801846292,3.05101529068008,3.0410152906800803,0.01,0.0554466152,35.803153535279975,3.092193174040001,2,1,1,1.0,,,56.0,56.0,73,50,0.0218103793454338,-0.0241551412487117,0.3236896682884667,0.6763103317115333,,0.0913542215244314,-0.03081157185084,"{'2023-09': -0.030811571850840047, '2023-10': -0.02071053336690354, '2023-11': 0.0913542215244314, '2023-12': 0.0007922687820149932, '2024-01': 0.0005642601411339765, '2024-02': 0.0013370550513791546, '2024-03': 0.00032408962200403124}","{'2023': 0.03664242316451927, '2024': 0.002226775702419914}",929.10877974916,1039.79575996452,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,A01__QQQM_SMH__buffer_0.04/stress/W1
track_a,OK,2024-03-19,2024-09-18,1000.0,1025.24122175575,25.241221755750075,25.241221755750075,0.0,0.02524122175575,0.05101218209327,0.2465338427457645,2024-07-10,2024-08-07,49,0.3735532614292121,0.3189990665769576,0.4079197359896569,0.2069175636298983,2016.51326207607,3.0348138542500447,3.024813854250045,0.01,0.0,25.018452511350016,0.2227692443999985,2,1,1,1.0,,,169.0,169.0,71,56,0.0757374581462673,-0.0744755438807066,0.9070176116694144,0.0929823883305857,,0.1222068006600294,-0.0893396019906151,"{'2024-03': 0.04105764427044001, '2024-04': -0.04805034003189601, '2024-05': 0.12220680066002942, '2024-06': 0.08343806797129716, '2024-07': -0.05221754526343947, '2024-08': -0.014185512724239624, '2024-09': -0.08933960199061519}",{'2024': 0.025241221755750054},922.74595431044,1299.3424352304398,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.04,a,QQQM_SMH,A01,buffer_0.04,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,A01__QQQM_SMH__buffer_0.04/stress/W2
