candidate_id,cost_scenario,phase,window_id,metric,before,after
A02__QQQM_SMH__primary,severe,evaluation,W5,sortino_zero_mar,1.0555194328742945,1.0698529904317722
A02__QQQM_SMH__primary,severe,evaluation,W6,win_rate,1.0,0.8571428571428571
A02__QQQM_SMH__primary,severe,evaluation,W6,sortino_zero_mar,2.0198300116434944,2.2533268026549513
A02__QQQM_SMH__primary,severe,delay,,win_rate,1.0,0.6744186046511628
A02__QQQM_SMH__primary,severe,delay,,sortino_zero_mar,1.5615483918602262,1.7563414837168725
A02__QQQM_SMH__primary,severe,stress,stress_2020,win_rate,,0.0
A02__QQQM_SMH__primary,severe,stress,stress_2020,sortino_zero_mar,3.646424644377445,3.7777325165573443
A02__QQQM_SMH__primary,severe,stress,stress_2022,win_rate,,0.0
A02__QQQM_SMH__primary,severe,stress,stress_2022,sortino_zero_mar,-1.9342211610328854,-2.648216326030409
A03__QQQM_SMH__primary,base,continuous,,win_rate,1.0,0.9259259259259259
A03__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,2.0053277342904576,2.233827931287101
A03__QQQM_SMH__primary,base,evaluation,W1,win_rate,1.0,0.8
A03__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,4.93715077183602,5.001741962611281
A03__QQQM_SMH__primary,base,evaluation,W2,win_rate,1.0,0.4
A03__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,0.4857489825378823,0.5168158022407935
A03__QQQM_SMH__primary,base,evaluation,W3,win_rate,1.0,0.3333333333333333
A03__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,-0.09107420877702724,-0.10018925726496503
A03__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,3.9745066834077676,5.503791092440947
A03__QQQM_SMH__primary,base,evaluation,W5,win_rate,1.0,0.8
A03__QQQM_SMH__primary,base,evaluation,W5,sortino_zero_mar,1.0522821216632536,1.0774546747647789
A03__QQQM_SMH__primary,base,evaluation,W6,sortino_zero_mar,3.6163322846241632,3.7936586218121198
A03__QQQM_SMH__primary,base,delay,,win_rate,1.0,0.9230769230769231
A03__QQQM_SMH__primary,base,delay,,sortino_zero_mar,1.9715715423621942,2.1969033942826566
A03__QQQM_SMH__primary,base,stress,stress_2020,sortino_zero_mar,4.584671809886232,4.782208123770278
A03__QQQM_SMH__primary,base,stress,stress_2022,win_rate,,0.0
A03__QQQM_SMH__primary,base,stress,stress_2022,sortino_zero_mar,-0.9833049519056745,-1.8618728166936205
A03__QQQM_SMH__primary,stress,continuous,,win_rate,1.0,0.9259259259259259
A03__QQQM_SMH__primary,stress,continuous,,sortino_zero_mar,1.98461499057544,2.2152353475824875
A03__QQQM_SMH__primary,stress,evaluation,W1,win_rate,1.0,0.8
